date,open,close
2016-10-18 00:00:00,,3916.0
2016-10-19 00:00:00,3916.0,3917.84
2016-10-20 00:00:00,3917.84,3936.42
2016-10-21 00:00:00,3936.42,3913.13
2016-10-24 00:00:00,3913.13,3940.44
2016-10-25 00:00:00,3940.44,3942.14
2016-10-26 00:00:00,3942.14,3908.23
2016-10-27 00:00:00,3908.23,3918.51
2016-10-28 00:00:00,3918.51,3900.45
2016-10-31 00:00:00,3900.45,3893.85
2016-11-01 00:00:00,3893.85,3924.92
2016-11-02 00:00:00,3924.92,3899.16
2016-11-03 00:00:00,3899.16,3909.87
2016-11-04 00:00:00,3909.87,3923.13
2016-11-07 00:00:00,3923.13,3885.05
2016-11-08 00:00:00,3885.05,3922.79
2016-11-09 00:00:00,3922.79,3887.28
2016-11-10 00:00:00,3887.28,3934.05
2016-11-11 00:00:00,3934.05,3943.37
2016-11-14 00:00:00,3943.37,3972.69
2016-11-15 00:00:00,3972.69,4014.71
2016-11-16 00:00:00,4014.71,4024.85
2016-11-17 00:00:00,4024.85,3988.77
2016-11-18 00:00:00,3988.77,3964.55
2016-11-21 00:00:00,3964.55,3970.07
2016-11-22 00:00:00,3970.07,4021.95
2016-11-23 00:00:00,4021.95,3991.01
2016-11-24 00:00:00,3991.01,3956.27
2016-11-25 00:00:00,3956.27,3981.02
2016-11-28 00:00:00,3981.02,3958.25
2016-11-29 00:00:00,3958.25,3939.02
2016-11-30 00:00:00,3939.02,3950.31
2016-12-01 00:00:00,3950.31,3950.13
2016-12-02 00:00:00,3950.13,3893.71
2016-12-05 00:00:00,3893.71,3875.19
2016-12-06 00:00:00,3875.19,3853.4
2016-12-07 00:00:00,3853.4,3885.36
2016-12-08 00:00:00,3885.36,3858.55
2016-12-09 00:00:00,3858.55,3833.82
2016-12-12 00:00:00,3833.82,3631.09
2016-12-13 00:00:00,3631.09,3628.45
2016-12-14 00:00:00,3628.45,3601.98
2016-12-15 00:00:00,3601.98,3626.87
2016-12-16 00:00:00,3626.87,3681.35
2016-12-19 00:00:00,3681.35,3654.54
2016-12-20 00:00:00,3654.54,3661.24
2016-12-21 00:00:00,3661.24,3686.49
2016-12-22 00:00:00,3686.49,3668.31
2016-12-23 00:00:00,3668.31,3648.19
2016-12-26 00:00:00,3648.19,3638.65
2016-12-27 00:00:00,3638.65,3623.51
2016-12-28 00:00:00,3623.51,3582.92
2016-12-29 00:00:00,3582.92,3577.63
2016-12-30 00:00:00,3577.63,3573.82
2017-01-03 00:00:00,3573.82,3599.07
2017-01-04 00:00:00,3599.07,3645.31
2017-01-05 00:00:00,3645.31,3637.71
2017-01-06 00:00:00,3637.71,3600.15
2017-01-09 00:00:00,3600.15,3596.77
2017-01-10 00:00:00,3596.77,3593.51
2017-01-11 00:00:00,3593.51,3552.21
2017-01-12 00:00:00,3552.21,3523.51
2017-01-13 00:00:00,3523.51,3480.87
2017-01-16 00:00:00,3480.87,3336.05
2017-01-17 00:00:00,3336.05,3396.13
2017-01-18 00:00:00,3396.13,3362.36
2017-01-19 00:00:00,3362.36,3356.42
2017-01-20 00:00:00,3356.42,3420.62
2017-01-23 00:00:00,3420.62,3445.82
2017-01-24 00:00:00,3445.82,3411.62
2017-01-25 00:00:00,3411.62,3427.81
2017-01-26 00:00:00,3427.81,3466.31
2017-02-03 00:00:00,3466.31,3435.25
2017-02-06 00:00:00,3435.25,3461.15
2017-02-07 00:00:00,3461.15,3437.72
2017-02-08 00:00:00,3437.72,3456.23
2017-02-09 00:00:00,3456.23,3467.99
2017-02-10 00:00:00,3467.99,3448.11
2017-02-13 00:00:00,3448.11,3464.11
2017-02-14 00:00:00,3464.11,3466.73
2017-02-15 00:00:00,3466.73,3429.06
2017-02-16 00:00:00,3429.06,3420.29
2017-02-17 00:00:00,3420.29,3395.67
2017-02-20 00:00:00,3395.67,3415.03
2017-02-21 00:00:00,3415.03,3469.31
2017-02-22 00:00:00,3469.31,3485.02
2017-02-23 00:00:00,3485.02,3493.93
2017-02-24 00:00:00,3493.93,3548.3
2017-02-27 00:00:00,3548.3,3555.56
2017-02-28 00:00:00,3555.56,3544.74
2017-03-01 00:00:00,3544.74,3570.43
2017-03-02 00:00:00,3570.43,3541.25
2017-03-03 00:00:00,3541.25,3535.3
2017-03-06 00:00:00,3535.3,3573.45
2017-03-07 00:00:00,3573.45,3583.06
2017-03-08 00:00:00,3583.06,3546.39
2017-03-09 00:00:00,3546.39,3523.18
2017-03-10 00:00:00,3523.18,3538.76
2017-03-13 00:00:00,3538.76,3558.6
2017-03-14 00:00:00,3558.6,3546.17
2017-03-15 00:00:00,3546.17,3532.78
2017-03-16 00:00:00,3532.78,3555.65
2017-03-17 00:00:00,3555.65,3535.85
2017-03-20 00:00:00,3535.85,3537.93
2017-03-21 00:00:00,3537.93,3525.54
2017-03-22 00:00:00,3525.54,3495.7
2017-03-23 00:00:00,3495.7,3495.75
2017-03-24 00:00:00,3495.75,3503.85
