date,price,price_book_ratio,mkt_capital,price_earning_ratio,volume,day_price_std,price_rise_rate
2005-01,0.19647058823529412,0.24516583011874862,0.035574632386167454,0.11674500794725265,0.029549970815223394,0.13416015566635656,
2005-02,0.21215686274509804,0.2647399671896281,0.03841492239703911,0.1260659673039086,0.024110720719838056,0.1381795561709102,0.07984031936127756
2005-03,0.18666666666666665,0.22928809006100442,0.03379945112937267,0.11754029122094029,0.041681418118639554,0.2531524560574225,-0.12014787430683926
2005-04,0.17568627450980392,0.2109966818552963,0.03181124812176252,0.10713797608094967,0.040208715030339695,0.20958856939502396,-0.05882352941176461
2005-05,0.1776470588235294,0.21335155826360658,0.03216628437312147,0.10833371387792874,0.023530611521336394,0.061834694240084434,0.01116071428571419
2005-06,0.17647058823529413,0.21193872404211075,0.03195326262230609,0.10761627119974129,0.06040527120555436,0.14799964899923249,-0.0066225165562914245
2005-07,0.16705882352941176,0.20063528674105782,0.030249088615783102,0.10187673630066052,0.03344058735799074,0.14393120049589786,-0.053333333333333344
2005-08,0.18588235294117647,0.23050011613277405,0.033657436628829085,0.10571853223115261,0.08395601356181079,0.09149612834418885,0.11267605633802824
2005-09,0.18901960784313726,0.23439044953385788,0.03422549463100342,0.10750280941112968,0.08693391101874924,0.15122944924963003,0.016877637130801704
2005-10,0.17529411764705882,0.21743674428754262,0.03174024087149072,0.1020167475604296,0.04113421747828728,0.11815244390193569,-0.0726141078838175
2005-11,0.16862745098039214,0.20916741887007165,0.03053311761687027,0.09813691566191744,0.032154875478873864,0.10237863684082364,-0.03803131991051456
2005-12,0.19019607843137254,0.23592132535211288,0.03443851638181879,0.11068931374844719,0.05721115335657355,0.22606362357699694,0.12790697674418605
2006-01,0.19607843137254902,0.24321791471349563,0.03550362513589566,0.1141126944514627,0.07834951682824316,0.09255403826954257,0.030927835051546504
2006-02,0.21764705882352942,0.2699718211955369,0.039409023900844185,0.12666508601157378,0.11314293576508556,0.1535306701172977,0.10999999999999988
2006-03,0.20745098039215687,0.2522107602932502,0.03756283539377761,0.1119665795674761,0.1379265225935141,0.15807363071452737,-0.04684684684684681
2006-04,0.18862745098039213,0.22932580839787317,0.04269310922591452,0.1018070406756629,0.05455382675823565,,-0.09073724007561446
2006-05,0.24588235294117644,0.2956108225056001,0.05565193240051645,0.1313108714582619,0.481733332553287,0.27154363868891895,0.30353430353430366
2006-06,0.2549019607843137,0.3064544625908161,0.057693390845830445,0.13612769475908545,0.26949742200552596,0.3409272433839589,0.036682615629984205
2006-07,0.2611764705882353,0.3139979772587443,0.059113535851266275,0.1394785277921437,0.36556640423040754,0.37792055695399945,0.024615384615384706
2006-08,0.2784313725490196,0.34477995778905796,0.0630189346162148,0.15872731859850303,0.2566478931593999,0.3113930195881425,0.06606606606606591
2006-09,0.28431372549019607,0.3520640252734236,0.06435032055881089,0.16208071651409936,0.2651832120960379,0.16285204780316467,0.021126760563380254
2006-10,0.27568627450980393,0.42063733605312575,0.06239762117633662,0.199381405153734,0.11905343630039238,0.16696248257688107,-0.030344827586206824
2006-11,0.3396078431372549,0.5181677928466182,0.07686534841921411,0.2456106652802117,0.4692273022897908,0.7678334336418166,0.2318634423897581
2006-12,0.396078431372549,0.6043296069550781,0.08964665346813654,0.28645123772257464,0.48301471094595116,0.4563394726360132,0.16628175519630473
2007-01,0.5258823529411765,0.8023823329142578,0.1190259032680902,0.380327831277406,0.580403641566537,1.7523593118692111,0.3277227722772278
2007-02,0.5352941176470588,0.8167426352656677,0.12115612077624394,0.3871345922633967,0.3015863337569784,0.8656640720939547,0.017897091722595126
2007-03,0.5599999999999999,0.8544383716734374,0.1267479417351475,0.4050023471938433,0.47057688868783115,0.588773948052019,0.04615384615384599
2007-04,0.6250980392156863,0.6250980562229225,0.1414819461665442,0.41871640864546594,0.7020430189457518,0.7198048677378119,0.11624649859943981
2007-05,1.0,1.0,0.22633561024133483,0.6698411863238297,0.8433564896673345,2.7174025227389906,0.5997490589711418
2007-06,0.731764705882353,0.7317645966527802,0.16562441125895325,0.4901661391895445,0.7756051976744375,1.7588973818844578,-0.268235294117647
2007-07,0.8905882352941177,0.8905882670928584,0.2015718317090476,0.5965526764774446,0.5112946995638531,1.881663857988155,0.21704180064308676
2007-08,0.8835294117647059,0.8935194552555921,0.1999741685779323,0.542365303741385,0.5690814904796869,0.8318064536204228,-0.007926023778071278
2007-09,0.8231372549019608,0.8324444582219026,0.18630527290061244,0.5052928439627081,0.34706329674422515,0.8543219841673172,-0.06835330670217499
2007-10,0.7329411764705883,0.7279402321647622,0.16589068844747248,0.4256691003529612,0.1993767843119896,1.5129472816738143,-0.10957598856598372
2007-11,0.7054901960784313,0.7006765936646328,0.15967755404869072,0.4097264366117573,0.19182141975814662,0.8840740992626204,-0.03745318352059945
2007-12,0.823921568627451,0.8182997764844953,0.18648279102629198,0.47850763856283535,0.23251246000705847,0.8770470790940305,0.1678710394663705
2008-01,0.6988235294117647,0.6940552694272724,0.15816864998041516,0.405854645261049,0.3597271059507129,2.0938225467175724,-0.1518324607329844
2008-02,0.7101960784313726,0.7053503079083747,0.1607426628027676,0.4124594592740739,0.08349799477571,0.6714136206542133,0.01627384960718281
2008-03,0.5898039215686274,0.5757885842933821,0.1334936305109677,0.34180105046754905,0.16287285904588159,1.656434351824654,-0.16951960242959696
2008-04,0.5737254901960784,0.5487549207540796,0.12985450893453837,0.31695763083588196,0.16896740165125007,1.0961965077602336,-0.027260638297872286
