date,price,price_book_ratio,mkt_capital,price_earning_ratio,volume,day_price_std,price_rise_rate
2005-01,0.12536145602993706,0.23826658955978208,0.017666033550253736,0.277563362809243,0.015718945506090237,0.30720471487609896,
2005-02,0.13165504337472358,0.24010844065599662,0.018552930756982892,0.2820781745221262,0.014365987901704527,0.18238449101856946,0.05020352781546822
2005-03,0.11770709304303453,0.21467066246475539,0.016587374785312872,0.25219391261115987,0.011282501814105093,0.33420071600323487,-0.10594315245478036
2005-04,0.11940806259567953,0.20979492237890296,0.016827076733077508,0.243458560793902,0.011876467086197192,0.21153573792873032,0.014450867052023142
2005-05,0.11396496002721551,0.200231534760296,0.01606003050023067,0.2323607356333866,0.004807823350028699,0.11151694674696208,-0.045584045584045496
2005-06,0.1301241707773431,0.2286225908469903,0.01833719900399472,0.26530740576301637,0.016719143602448496,0.41166271445953173,0.14179104477611948
2005-07,0.14186086069059364,0.24924350823764022,0.019991142443570715,0.2892371008100258,0.0124521055561647,0.37853539810570874,0.09019607843137245
2005-08,0.14424221806429666,0.2512897239803339,0.020326725170441207,0.27621401456542954,0.014449376565891658,0.15933532889969207,0.016786570743405393
2005-09,0.14118047286953564,0.2459556889486579,0.019895261664464862,0.27035098649171324,0.008233401561306962,0.2489406125392738,-0.021226415094339535
2005-10,0.14492260588535466,0.2410749173602468,0.020422605949547062,0.2585259714322797,0.006636684286474802,0.18662685587378183,0.026506024096385472
2005-11,0.14985541758802517,0.24928054866073177,0.021117741598064507,0.26732555311707634,0.007221597428717113,0.21665301322282207,0.03403755868544622
2005-12,0.16584453138288824,0.27587803466512567,0.023370939907052093,0.29584837539937503,0.012983451793144342,0.3929486709592718,0.1066969353007945
2006-01,0.19169926858309236,0.3188866762172436,0.027014409513074576,0.3419703790176636,0.015732312780355587,0.34783077782162886,0.15589743589743588
2006-02,0.20734818846742642,0.3449182787636549,0.029219667432509235,0.3698863323585006,0.015176905112164131,0.38261678530300236,0.08163265306122458
2006-03,0.18472529341724783,0.3072856371156173,0.026031631527239564,0.3295295657177008,0.009997266071294987,0.1260385428577871,-0.10910582444626749
2006-05,0.1695866643987073,0.266495995245123,0.031067769449774584,0.2525930001769331,0.04946540640799837,0.19147872613975303,-0.08195211786371992
2006-06,0.16856608266712025,0.2648922305678554,0.03088080193051817,0.2510728813342507,0.02865682558154943,0.4539262579087572,-0.006018054162487463
2006-07,0.1496853206327607,0.23522210229879717,0.027421902824274456,0.21156831477931587,0.01782203271562483,0.34237406443829815,-0.1120080726538849
2006-08,0.16720530702500425,0.2414043201979714,0.030631511904842944,0.235587177052226,0.017933689100664736,0.3653381129295057,0.11704545454545445
2006-09,0.1806429664908998,0.2608050446915186,0.03309325090838577,0.25452041722859564,0.03595504142911768,0.3226283428638085,0.08036622583926745
2006-10,0.23779554345977208,0.32749043853933985,0.0435634319867451,0.3135701953579718,0.030959246902539615,0.7838840888204608,0.31638418079096065
2006-11,0.28627317571015476,0.43855122273005903,0.05971772397874965,0.41991018813979236,0.03064424066979292,1.1064623009978294,0.2038626609442058
2006-12,0.36247661166865114,0.5552896828718874,0.07561406405152438,0.531686632842889,0.03689637387049831,1.213094822187881,0.26619132501485443
2007-01,0.4250722912059874,0.6511820926468764,0.08867177196844646,0.5836586029646279,0.05066592199097467,1.8314650448551615,0.1726888784608165
2007-02,0.3796564041503657,0.5816079740108976,0.07919783714828832,0.5212989115382067,0.027753577735936848,1.2651079381768557,-0.10684273709483783
2007-03,0.45449906446674604,0.5042060149793184,0.09481031400547776,0.6235006323452917,0.04542755836907469,1.564407692569754,0.19713261648745517
2007-04,0.45756080966150703,0.4882185761789827,0.09544900624054461,0.5847590447511317,0.03676750416258203,1.0556956632161247,0.006736526946107713
2007-05,0.5742473209729546,0.612723321100002,0.29317714857918636,0.7338834596035636,0.06552727667323145,1.5924315480717284,0.2550185873605948
2007-06,0.6223847593128083,0.664086076804709,0.31775331358152936,0.7954027189338367,0.04624514049886217,2.3247781256139977,0.08382701421800975
2007-07,0.6846402449396156,0.7305128300103648,0.3495373290969269,0.8749647319636423,0.0258547091410733,2.8576707737390317,0.1000273298715495
2007-08,0.9355332539547542,0.9819978191112739,0.4776286484554281,1.0,0.03475555655280201,4.140731017547964,0.36645962732919246
2007-09,0.8930090151386291,0.9373615400080462,0.45591825534381775,0.9545454480122195,0.023628112343189168,1.9423520061485964,-0.045454545454545414
2007-10,1.0,1.0,0.5105416044126294,0.9551696545263174,0.02240547016700303,2.221223533759738,0.11980952380952381
2007-11,0.8826331008674945,0.8826331373045662,0.48898832812076626,0.8430643529014221,0.015134976845866814,3.4637764654488583,-0.11736689913250553
2007-12,0.898111923796564,0.8981119661334915,0.49756376420844967,0.8578492599210082,0.02134650660195018,2.8946331464680606,0.0175370977066871
2008-01,0.7824459942167036,0.7824460724626293,0.4334835824543312,0.6543838618352487,0.025249750303870368,3.912934179883929,-0.12878787878787878
2008-02,0.7166184725293417,0.6940872137101808,0.39701442019132555,0.5994637318102812,0.025338280073965696,4.727174631849343,-0.08413043478260862
2008-03,0.6021432216363327,0.5832112034219356,0.3335938873670288,0.5037032156831406,0.03710013136744554,3.2561173197536992,-0.15974365060526952
2008-04,0.5511141350569825,0.6249881973796363,0.3969201846644395,0.4496436580848137,0.056497219871456866,2.7379703118499017,-0.0847457627118644
2008-05,0.4783126382037762,0.5424279847461971,0.3753794834835515,0.3902462840820745,0.05924420455216227,1.4980710404067168,-0.13209876543209864
