date,price,price_book_ratio,mkt_capital,price_earning_ratio,volume,day_price_std,price_rise_rate
2005-01,0.1867935752528257,0.5348595944674037,0.12930775205360942,0.04688211961888818,0.04338908017892341,0.21726711670199925,
2005-02,0.18631766805472932,0.5334968156162597,0.128978305551562,0.046762674698188796,0.0667630417288653,0.29803415739535516,-0.002547770700636942
2005-03,0.19631171921475313,0.5317239853975122,0.13589668209455766,0.04822883151480055,0.11426925660980933,0.4833733571180178,0.05363984674329503
2005-04,0.20095181439619275,0.5226701623832535,0.13910878548951994,0.047906000679741205,0.09364962504393692,0.3423260645976653,0.023636363636363678
2005-05,0.17822724568709103,0.4635641299558407,0.12337771501675598,0.04248856693611145,0.06328121503173971,0.5059898569083343,-0.11308466548253404
2005-06,0.20107079119571683,0.522979620129366,0.13919114711503178,0.047934365027831306,0.09864383267373149,1.0386243190829285,0.1281708945260347
2005-07,0.20309339678762642,0.5282402694532511,0.1405912947487333,0.04841654523047481,0.05096509443528096,0.3410851031913404,0.010059171597633254
2005-08,0.19571683521713265,0.5004416192343475,0.1354848739669984,0.04647406642775541,0.10640007887938917,0.47434789854468,-0.03632103104862339
2005-09,0.1865556216537775,0.47701680614987046,0.12914302880258569,0.044298685311976206,0.09327867898482883,0.3549748482035641,-0.04680851063829783
2005-10,0.1766805472932778,0.432582353416894,0.12230701388510189,0.04179270485660101,0.07069829987085399,0.4247489454568033,-0.05293367346938771
2005-11,0.16597263533610945,0.4063651408158487,0.11489446758903511,0.03925981383128607,0.050626744060705976,0.3375019640795831,-0.06060606060606066
2005-12,0.17156454491374182,0.4200563297808343,0.11876546398809221,0.04058254622479637,0.16372160927458512,0.5565470229410889,0.03369175627240151
2006-01,0.19095776323616895,0.46753850452492607,0.13219040894652426,0.04516989419653408,0.15694271914305516,0.6091141108199675,0.11303744798890425
2006-02,0.19107674003569303,0.46782969658713636,0.1322727705720361,0.04519803714714306,0.06743895173107396,0.0494974746830579,0.0006230529595014911
2006-03,0.1351576442593694,0.3180079392192161,0.1113397398171111,0.030872946129854865,0.4411049302315578,0.20641235574950642,-0.2926525529265255
2006-04,0.14538964901844142,0.3420825076825069,0.11976862857087126,0.03321015900798442,0.43421655261164216,0.24345917197972283,0.07570422535211274
2006-05,0.15609756097560976,0.35365474495479965,0.1285895586620156,0.03509078954268144,0.5831054796220494,0.4482154156469067,0.07364975450081812
2006-06,0.17144556811421774,0.3884271803435828,0.14123289179265588,0.038541026336496066,0.43599585469970176,0.3468188768411164,0.09832317073170738
2006-07,0.16287923854848305,0.3690193617572964,0.1341761477197404,0.03661531300497973,0.22416812751904333,0.4221126006399801,-0.04996530187369885
2006-08,0.16287923854848305,0.3648706690309697,0.1341761477197404,0.0350903820145746,0.11014079183791008,0.20031003637346007,0.0
2006-09,0.16513979773944082,0.3699346313528346,0.13603834407231533,0.03557739181713812,0.1668689726423411,0.29851298129227194,0.01387874360847352
2006-10,0.18738845925044617,0.4023660149214754,0.15436627659502639,0.03924553271411893,0.18107191666584743,0.722073708963614,0.13472622478386165
2006-11,0.20083283759666865,0.43123426652888863,0.16544144437612984,0.04206124432704222,0.250494689321511,0.6033843149924822,0.07174603174603167
2006-12,0.2249851279000595,0.4830947786483685,0.1853375422483777,0.047119557641406316,0.39066056647479364,0.4411079125068943,0.12026066350710907
2007-01,0.3044616299821535,0.653749077946953,0.2508084455915381,0.06376464739284951,0.2902820958154619,2.079970900606163,0.35325224748810147
2007-02,0.2985127900059488,0.6409755410580145,0.24590792887423568,0.06251875755871572,0.2011379682103891,1.9899720026745538,-0.019538882375928046
2007-03,0.28994646044021416,0.6225817326483614,0.26439800274531483,0.06072467580570913,0.327214400916571,0.7448072762721094,-0.028696691909127048
2007-04,0.4158239143367044,0.8458224064614989,0.3791838406216148,0.08492748205835957,0.5426975880557008,2.643500745314097,0.43414033647927797
2007-05,0.44342653182629393,0.9019686039365725,0.40435427009921554,0.09056501428726926,0.36193571921652673,1.5527037350663149,0.06638054363376256
2007-06,0.45223081499107676,0.919877312842589,0.41238276915672606,0.09236319287331148,0.4099278623834993,2.0213489503169346,0.01985511134961082
2007-07,0.48899464604402143,0.9946582139787807,0.44590717738335817,0.09987180419691409,0.22877824411271486,1.3934898884685427,0.08129439621152335
2007-08,0.49886972040452116,1.0,0.4549121155154308,0.09880075371696392,0.39398492139662794,1.138874695970777,0.020194647201946525
2007-09,0.46876859012492567,0.9396612986292397,0.42746332819718513,0.0928392483987339,0.2554016468388757,1.2031680768091533,-0.060338659670880035
2007-10,0.42593694229625223,0.8198296764684121,0.38840576521470116,0.08284919059549582,0.26980390910871227,1.6259983358648602,-0.09137055837563457
2007-11,0.3870315288518739,0.7449457992302205,0.352928478838945,0.07528167970483617,0.1535142833459578,0.7659062198874869,-0.09134078212290497
2007-12,0.44640095181439626,0.8592181678433694,0.40706660086188806,0.08682965476389658,0.11904290181453023,1.663251729531486,0.15339686443283118
2008-01,0.3955978584176086,0.761434020312764,0.3607399914354418,0.0769479210662885,0.2114968496028554,1.9008084404465222,-0.11380597014925375
2008-02,0.3788221296847115,0.7291445266944367,0.34544244593396894,0.07368486702604742,0.09124378223860542,1.3029089249316927,-0.042406015037594
2008-03,0.2891136228435455,0.5363895440342621,0.2891136228435456,0.05412643916885552,0.285978558003524,3.463393946922431,-0.23680904522613067
2008-04,0.26722189173111244,0.48228222043477353,0.2672218917311125,0.05208791696326419,0.28068061065932715,1.7378336267565193,-0.07572016460905351
