基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
000008.OF,嘉实中证500etf联接a,1.94,0.76,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.09,0.10
000042.OF,中证财通中国可持续发展100指数增强a,2.06,-0.07,20210811.,指数基金,ESG 100全收益,14.86,1.47,2.20,5.20,0.41,0.50
000049.OF,中银标普全球资源等权重指数(qdii),1.40,0.87,20210810.,指数基金,--,--,--,--,--,8.11,0.10
000051.OF,华夏沪深300etf联接a,1.71,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.27,0.10
000055.OF,广发纳斯达克100指数(美元)a,0.66,-0.54,20210810.,指数基金,纳斯达克100,--,--,0.59,--,11.12,--
000059.OF,国联安中证医药100a,1.41,-1.12,20210811.,指数基金,医药100,49.36,7.16,0.65,8.02,-4.44,0.10
000071.OF,华夏恒生etf联接a,1.43,0.20,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-9.71,0.10
000075.OF,华夏恒生etf联接a(美元现汇),0.22,0.23,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-10.36,--
000076.OF,华夏恒生etf联接a(美元现钞),0.22,0.23,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-10.36,--
000087.OF,嘉实中证金边中期国债etf联接a,1.04,-0.06,20210811.,指数基金,中期国债,--,--,--,--,0.41,0.10
000088.OF,嘉实中证金边中期国债etf联接c,1.03,-0.06,20210811.,指数基金,中期国债,--,--,--,--,0.26,--
000176.OF,嘉实沪深300指数研究增强,2.00,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.56,0.10
000179.OF,广发美国房地产指数(qdii)人民币,1.27,-0.94,20210810.,指数基金,--,--,--,--,--,19.89,0.10
000180.OF,广发美国房地产指数(qdii)美元,0.20,-0.91,20210810.,指数基金,--,--,--,--,--,18.99,--
000216.OF,华安黄金易etf联接a,1.31,-0.30,20210811.,指数基金,--,--,--,--,--,-5.25,0.10
000217.OF,华安黄金易etf联接c,1.30,-0.30,20210811.,指数基金,--,--,--,--,--,-5.42,--
000218.OF,国泰黄金etf联接a,1.34,-0.30,20210811.,指数基金,--,--,--,--,--,-5.36,0.10
000248.OF,汇添富中证主要消费etf联接a,2.97,-1.52,20210811.,指数基金,中证消费,37.04,8.01,1.22,11.77,-23.08,0.10
000307.OF,易方达黄金etf联接a,1.26,-0.29,20210811.,指数基金,--,--,--,--,--,-5.19,0.10
000311.OF,景顺长城沪深300指数增强,2.85,-0.42,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.51,0.10
000312.OF,华安沪深300量a,2.65,-0.19,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.98,0.10
000313.OF,华安沪深300量c,2.53,-0.19,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.16,--
000368.OF,汇添富沪深300安中指数,2.50,-0.43,20210811.,指数基金,安中动态,15.15,1.56,2.23,5.43,-4.98,0.10
000369.OF,广发全球医疗保健(qdii)(人民币),1.94,0.00,20210810.,指数基金,--,--,--,--,--,11.05,0.10
000370.OF,广发全球医疗保健(qdii)(美元),0.30,0.00,20210810.,指数基金,--,--,--,--,--,10.28,--
000373.OF,华安中证细分医药etf联接a,1.97,-1.55,20210811.,指数基金,细分医药,48.94,6.78,0.68,7.67,-13.54,0.10
000376.OF,华安中证细分医药etf联接c,1.92,-1.54,20210811.,指数基金,细分医药,48.94,6.78,0.68,7.67,-13.72,--
000478.OF,建信中证500指数增强a,3.10,1.27,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.42,0.10
000512.OF,国泰沪深300指数增强a,1.65,-0.30,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.67,0.10
000593.OF,易方达标普消费品指数(美元现汇)a,0.45,0.13,20210810.,指数基金,--,--,--,--,--,6.94,--
000596.OF,前海开源中证军工指数a,2.36,-0.25,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,17.62,0.10
000613.OF,国寿安保沪深300etf联接,1.33,-0.48,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.31,0.10
000614.OF,华安德国30(dax)etf联接,1.45,0.07,20210810.,指数基金,德国DAX,--,--,--,--,8.39,0.10
000656.OF,前海开源沪深300指数,1.95,-0.41,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.81,0.10
000826.OF,广发百发100指数a,1.72,-0.63,20210811.,指数基金,百发100,--,--,--,--,-0.57,0.10
000827.OF,广发百发100指数e,1.72,-0.64,20210811.,指数基金,百发100,--,--,--,--,-0.57,0.10
000834.OF,大成纳斯达克100指数,3.36,-0.53,20210810.,指数基金,纳斯达克100,--,--,0.59,--,11.25,0.10
000835.OF,华润元大富时中国a50指数a,2.93,-0.47,20210811.,指数基金,富时中国A50,--,--,--,--,-11.33,0.10
000929.OF,博时黄金etfd,3.60,-0.31,20210811.,指数基金,--,--,--,--,--,-5.35,--
000930.OF,博时黄金etfi,3.53,-0.31,20210811.,指数基金,--,--,--,--,--,-5.36,--
000942.OF,广发信息技术联接a,1.39,-0.14,20210811.,指数基金,全指信息,70.23,5.19,0.55,3.98,10.10,0.10
000948.OF,华夏沪港通恒生etf联接a,1.23,0.25,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-9.85,0.10
000950.OF,易方达沪深300非银etf联接a,0.97,-0.50,20210811.,指数基金,300非银,14.06,1.60,2.47,6.08,-11.57,0.10
000961.OF,天弘沪深300etf联接a,1.60,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.98,0.10
000962.OF,天弘中证500etf联接a,1.28,0.76,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.27,0.10
000968.OF,广发养老指数a,1.17,-1.54,20210811.,指数基金,养老产业,22.39,3.31,1.60,7.92,-15.95,0.10
000975.OF,华夏msci中国a股国际通etf联接a,1.45,-0.17,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.43,0.10
001015.OF,华夏沪深300指数增强a,2.14,-0.19,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.12,0.10
001016.OF,华夏沪深300指数增强c,2.07,-0.14,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.38,--
001021.OF,华夏亚债中国指数a,1.23,-0.08,20210811.,指数基金,--,--,--,--,--,3.96,0.10
001023.OF,华夏亚债中国指数c,1.18,-0.08,20210811.,指数基金,--,--,--,--,--,3.77,--
001027.OF,前海开源中证大农业指数增强,1.34,-0.52,20210811.,指数基金,大农业,27.32,4.71,1.40,9.67,-16.06,0.10
001051.OF,华夏上证50etf联接a,1.14,-0.73,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-16.71,0.10
001052.OF,华夏中证500etf联接a,0.80,0.73,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.68,0.10
001064.OF,广发环保a,1.24,0.98,20210811.,指数基金,中证环保,50.40,4.80,0.73,5.23,23.36,0.10
001092.OF,广发生物科技指数(qdii)(人民币),1.37,-1.52,20210810.,指数基金,--,--,--,--,--,2.06,0.10
001093.OF,广发生物科技指数(qdii)(美元),0.21,-1.54,20210810.,指数基金,--,--,--,--,--,1.38,--
001113.OF,大数据100a,1.22,0.67,20210811.,指数基金,I100,42.68,6.53,0.78,8.34,8.42,0.10
001133.OF,广发可选消费联接a,1.02,-0.32,20210811.,指数基金,全指可选,42.29,2.97,1.23,3.62,-6.27,0.10
001149.OF,汇丰晋信恒生a股行业龙头指数c,1.94,-0.68,20210811.,指数基金,恒生A股行业龙头指数,11.02,1.16,3.31,5.50,-17.91,--
001180.OF,广发医药卫生联接a,1.28,-1.62,20210811.,指数基金,全指医药,48.59,5.84,0.70,6.53,-8.34,0.10
001214.OF,华泰柏瑞中证500etf联接a,0.86,0.81,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,11.44,0.10
001237.OF,博时上证50etf联接a,1.29,-0.67,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-15.16,0.10
001241.OF,国寿安保中证500etf联接,0.70,0.73,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.93,0.10
001242.OF,博时中证淘金大数据100a,1.19,-0.67,20210811.,指数基金,淘金100,--,--,--,--,-4.53,0.10
001243.OF,博时中证淘金大数据100i,1.19,-0.67,20210811.,指数基金,淘金100,--,--,--,--,-4.53,--
001344.OF,易方达沪深300医药卫生etf联接a,1.75,-2.04,20210811.,指数基金,300医药,54.33,8.39,0.55,8.76,-14.12,0.10
001351.OF,诺安中证500增强a,1.10,0.66,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,4.89,0.10
001361.OF,景顺长城中证科技传媒通信150etf联接,0.78,-0.51,20210811.,指数基金,科技传媒通信150,48.51,4.89,0.67,5.47,4.54,0.10
001397.OF,建信精工制造指数增强,2.09,0.47,20210811.,指数基金,精工制造,32.67,2.65,0.96,4.31,6.97,0.10
001420.OF,南方大数据300a,1.60,-0.22,20210811.,指数基金,I300,23.55,3.24,1.43,7.35,-7.35,0.10
001426.OF,南方大数据300c,1.57,-0.23,20210811.,指数基金,I300,23.55,3.24,1.43,7.35,-7.53,--
001455.OF,景顺长城中证500联接,1.03,0.68,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.59,0.10
001469.OF,广发金融地产联接a,1.08,0.58,20210811.,指数基金,全指金融,7.55,0.79,3.92,5.50,-9.70,0.10
001481.OF,华宝标普石油天然气上游股票(lof)a(美元),0.06,2.78,20210810.,指数基金,--,--,--,--,--,9.09,--
001512.OF,易方达中债3-5年期国债,1.22,-0.08,20210811.,指数基金,中债3-5年期国债指数(总值)财富指数,--,--,--,--,2.26,--
001539.OF,嘉实中证金融地产etf联接a,1.31,0.60,20210811.,指数基金,中证金融,7.44,0.78,3.99,5.52,-10.31,0.10
001548.OF,天弘上证50指数a,1.45,-0.73,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-15.90,0.10
001549.OF,天弘上证50指数c,1.43,-0.73,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-15.98,--
001550.OF,天弘中证医药100a,1.15,-1.15,20210811.,指数基金,医药100,49.36,7.16,0.65,8.02,-5.70,0.10
001551.OF,天弘中证医药100c,1.13,-1.15,20210811.,指数基金,医药100,49.36,7.16,0.65,8.02,-5.80,--
001552.OF,天弘中证证券保险a,0.95,-0.62,20210811.,指数基金,中证证保,14.44,1.59,2.39,5.88,-8.33,0.10
001553.OF,天弘中证证券保险c,0.94,-0.63,20210811.,指数基金,中证证保,14.44,1.59,2.39,5.88,-8.42,--
001556.OF,天弘中证500指数增强a,1.46,1.18,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,13.06,0.10
001557.OF,天弘中证500指数增强c,1.44,1.18,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,12.89,--
001588.OF,天弘中证800a,1.39,-0.23,20210811.,指数基金,中证800,16.64,1.65,2.07,5.21,-6.26,0.10
001589.OF,天弘中证800c,1.37,-0.24,20210811.,指数基金,中证800,16.64,1.65,2.07,5.21,-6.35,--
001592.OF,天弘创业板etf联接a,1.35,-0.85,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.91,0.10
001593.OF,天弘创业板etf联接c,1.33,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.82,--
001594.OF,天弘中证银行etf联接a,1.28,0.89,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-9.90,0.10
001595.OF,天弘中证银行etf联接c,1.26,0.88,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-9.99,--
001617.OF,天弘中证电子etf联接a,1.68,0.07,20210811.,指数基金,CS电子,61.26,5.73,0.61,5.14,9.25,0.10
001618.OF,天弘中证电子etf联接c,1.65,0.06,20210811.,指数基金,CS电子,61.26,5.73,0.61,5.14,9.14,--
001629.OF,天弘中证计算机etf联接a,0.94,-1.29,20210811.,指数基金,CS计算机,67.86,5.78,0.63,4.54,2.33,0.10
001630.OF,天弘中证计算机etf联接c,0.93,-1.29,20210811.,指数基金,CS计算机,67.86,5.78,0.63,4.54,2.22,--
001631.OF,天弘中证食品饮料a,3.17,-1.78,20210811.,指数基金,CS食品饮,48.04,9.02,1.08,10.11,-18.25,0.10
001632.OF,天弘中证食品饮料c,3.13,-1.77,20210811.,指数基金,CS食品饮,48.04,9.02,1.08,10.11,-18.33,--
001879.OF,长城创业板指数增强a,2.72,-0.77,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,2.19,0.10
001899.OF,东海社会安全,0.78,-0.38,20210811.,指数基金,中证安全,52.14,4.70,0.61,4.86,5.24,0.10
002063.OF,国泰沪深300指数增强c,1.62,-0.31,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.72,--
002076.OF,浙商中证500指数增强a,1.80,0.95,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,17.83,0.10
002199.OF,前海开源中证军工指数c,1.20,-0.25,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,17.40,0.10
002236.OF,大成中证360互联网+大数据100指数a,1.55,0.52,20210811.,指数基金,360互联+,13.94,1.95,2.28,7.37,31.63,0.10
002310.OF,创金合信沪深300增强a,1.69,-0.59,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.60,0.10
002311.OF,创金合信中证500增强a,1.33,0.83,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.55,0.10
002315.OF,创金合信沪深300增强c,1.69,-0.58,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.65,--
002316.OF,创金合信中证500增强c,1.33,0.83,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.50,--
002385.OF,博时沪深300指数c,1.92,-0.48,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-13.19,--
002423.OF,华宝美国消费美元,0.34,0.39,20210810.,指数基金,--,--,--,--,--,5.14,--
002510.OF,申万菱信中证500指数增强a,1.79,1.11,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,0.90,0.10
002588.OF,博时银智大数据100a,1.75,0.30,20210623.,指数基金,--,--,--,--,--,-7.75,0.10
002610.OF,博时黄金etf联接a,1.26,-0.29,20210811.,指数基金,--,--,--,--,--,-5.10,0.10
002611.OF,博时黄金etf联接c,1.24,-0.30,20210811.,指数基金,--,--,--,--,--,-5.27,--
002656.OF,南方创业板a,1.67,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,2.32,0.10
002659.OF,兴业中债1-3年政策性金融债a,1.11,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)全价指数,--,--,--,--,2.27,0.10
002670.OF,万家沪深300指数增强a,1.55,-0.36,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.39,0.10
002671.OF,万家沪深300指数增强c,1.95,-0.36,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.58,--
002900.OF,500信息联接a,1.29,0.02,20210811.,指数基金,500信息,64.54,3.95,0.47,3.27,19.29,0.10
002903.OF,广发中证500etf联接(lof)c,1.26,0.74,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.19,--
002906.OF,南方中证500增强a,1.46,0.69,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,0.49,0.10
002907.OF,南方中证500增强c,1.44,0.70,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,0.28,--
002963.OF,易方达黄金etf联接c,1.24,-0.30,20210811.,指数基金,--,--,--,--,--,-5.36,--
002974.OF,广发信息技术联接c,1.38,-0.14,20210811.,指数基金,全指信息,70.23,5.19,0.55,3.98,9.99,--
002977.OF,广发可选消费联接c,1.01,-0.33,20210811.,指数基金,全指可选,42.29,2.97,1.23,3.62,-6.37,--
002978.OF,广发医药卫生联接c,1.26,-1.63,20210811.,指数基金,全指医药,48.59,5.84,0.70,6.53,-8.43,--
002979.OF,广发金融地产联接c,1.07,0.57,20210811.,指数基金,全指金融,7.55,0.79,3.92,5.50,-9.79,--
002982.OF,广发养老指数c,1.16,-1.55,20210811.,指数基金,养老产业,22.39,3.31,1.60,7.92,-16.03,--
002984.OF,广发环保c,1.23,0.98,20210811.,指数基金,中证环保,50.40,4.80,0.73,5.23,23.23,--
002987.OF,广发沪深300etf联接c,2.41,-0.52,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.91,--
003015.OF,中金沪深300a,1.92,-0.61,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.62,0.10
003016.OF,中金中证500a,1.79,0.55,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.80,0.10
003017.OF,广发中证军工etf联接a,1.33,-0.35,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,15.67,0.10
003081.OF,中融银行间1-3年中高等级信用债指数a,1.06,0.01,20210811.,指数基金,银行间1-3年中高等级(全价指数),--,--,--,--,2.52,0.10
003082.OF,中融银行间1-3年中高等级信用债指数c,1.05,0.00,20210811.,指数基金,银行间1-3年中高等级(全价指数),--,--,--,--,2.37,--
003083.OF,中融银行间1-3年高等级信用债指数a,1.03,0.01,20210811.,指数基金,银行间1-3年高等级(全价指数),--,--,--,--,1.56,0.10
003084.OF,中融银行间1-3年高等级信用债指数c,1.01,0.00,20210811.,指数基金,银行间1-3年高等级(全价指数),--,--,--,--,1.44,--
003184.OF,中证财通中国可持续发展100指数增强c,1.00,0.00,20210811.,指数基金,ESG 100全收益,14.86,1.47,2.20,5.20,0.00,--
003194.OF,上海国企etf联接,0.85,0.01,20210811.,指数基金,上海国企,10.99,0.96,3.22,4.57,-5.80,0.10
003318.OF,景顺长城中证500行业中性低波动指数,1.33,0.45,20210811.,指数基金,500SNLV,15.60,1.30,2.44,4.32,15.93,0.10
003358.OF,易方达中债7-10年期国开行债券指数a,1.14,-0.05,20210811.,指数基金,中债国开行债券总指数(7-10年)财富指数,--,--,--,--,4.58,0.10
003359.OF,大成中证360互联网+大数据100指数c,1.51,0.47,20210811.,指数基金,360互联+,13.94,1.95,2.28,7.37,31.21,--
003366.OF,浙商中证转型成长指数,1.09,0.65,20210811.,指数基金,转型成长,--,--,--,--,-11.42,0.10
003376.OF,广发中债7-10年国开债指数a,1.17,-0.05,20210811.,指数基金,中债国开行债券总指数(7-10年)财富指数,--,--,--,--,4.35,0.10
003377.OF,广发中债7-10年国开债指数c,1.15,-0.05,20210811.,指数基金,中债国开行债券总指数(7-10年)财富指数,--,--,--,--,4.17,--
003429.OF,中证兴业中高等级信用债指数,1.02,0.01,20210811.,指数基金,中证兴业中高信用债,-11.39,0.06,--,-0.21,3.92,0.10
003475.OF,前海联合沪深300a,1.66,-0.48,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-12.86,0.10
003548.OF,泰达宏利沪深300指数增强c,2.38,-0.53,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.74,--
003578.OF,中金中证500c,1.79,0.55,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.57,--
003579.OF,中金沪深300c,1.95,-0.61,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.80,--
003646.OF,创金合信中证1000增强a,1.66,0.58,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,16.80,0.10
003647.OF,创金合信中证1000增强c,1.64,0.58,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,16.69,--
003718.OF,易方达标普500指数(lof)(美元)a,0.28,0.11,20210810.,指数基金,标普500,--,--,1.24,--,12.93,--
003719.OF,易方达标普医疗保健指数(qdii-lof)a美元汇,0.27,-0.62,20210810.,指数基金,--,--,--,--,--,13.61,--
003720.OF,易方达标普生物科技指数(qdii-lof)a美元,0.26,-0.80,20210810.,指数基金,--,--,--,--,--,-22.59,--
003721.OF,易方达标普信息科技指数(qdii-lof)a美元,0.42,-0.71,20210810.,指数基金,标普500,--,--,1.24,--,12.23,--
003722.OF,易纳斯达克100a美元汇,0.35,-0.51,20210810.,指数基金,纳斯达克100,--,--,0.59,--,10.20,--
003760.OF,国泰中证500指数增强a,1.36,0.80,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,3.53,0.10
003761.OF,国泰中证500指数增强c,1.34,0.80,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,3.53,--
003765.OF,广发创业板etf联接a,1.83,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.54,0.10
003766.OF,广发创业板etf联接c,1.82,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.43,--
003876.OF,华宝沪深300增强a,2.15,-0.37,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.70,0.10
003884.OF,汇安沪深300指数增强a,1.93,-0.33,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.13,0.10
003885.OF,汇安沪深300指数增强c,1.78,-0.34,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.30,--
003957.OF,安信量化精选沪深300指数增强a,1.87,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.36,0.10
003958.OF,安信量化精选沪深300指数增强c,1.85,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.45,--
003986.OF,申万菱信中证500指数优选a,2.03,0.85,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.22,0.10
004069.OF,南方全指证券联接a,1.14,-0.81,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-2.94,0.10
004070.OF,南方全指证券联接c,1.12,-0.82,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.13,--
004190.OF,招商沪深300指数a,1.79,-0.08,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.24,0.10
004191.OF,招商沪深300指数c,1.77,-0.09,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.41,--
004192.OF,招商中证500指数a,1.45,0.74,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.31,0.10
004193.OF,招商中证500指数c,1.44,0.74,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.10,--
004194.OF,招商中证1000指数a,1.54,0.52,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,17.67,0.10
004195.OF,招商中证1000指数c,1.53,0.51,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,17.44,--
004243.OF,广发道琼斯石油指数(qdii-lof)c人民币,1.08,2.19,20210810.,指数基金,--,--,--,--,--,16.23,--
004253.OF,国泰黄金etf联接c,1.33,-0.30,20210811.,指数基金,--,--,--,--,--,-5.53,--
004342.OF,南方300联接c,2.05,-0.49,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.86,--
004343.OF,南方创业板c,1.68,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,2.12,--
004344.OF,大数据100c,1.20,0.66,20210811.,指数基金,I100,42.68,6.53,0.78,8.34,8.20,--
004345.OF,南方深成c,1.28,-0.21,20210811.,指数基金,深证成指,32.09,3.64,1.04,6.10,-4.03,--
004346.OF,南方小康c,1.54,0.57,20210811.,指数基金,小康指数,12.62,1.24,2.49,5.18,-1.17,--
004347.OF,500信息联接c,1.27,0.02,20210811.,指数基金,500信息,64.54,3.95,0.47,3.27,19.05,--
004348.OF,南方500c,1.84,0.73,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.61,--
004407.OF,招商上证消费80etf联接c,2.82,-1.54,20210811.,指数基金,消费80,48.03,6.52,0.81,7.20,-15.18,--
004408.OF,招商深证100指数c,2.36,-0.56,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-9.49,--
004409.OF,深tmt联接c,2.18,-0.53,20210811.,指数基金,TMT50,47.54,5.83,0.69,6.76,-0.58,--
004410.OF,招商央视50c,2.91,-0.05,20210811.,指数基金,央视50,9.95,1.20,3.38,6.30,-13.08,--
004416.OF,博时银智大数据100c,1.71,0.30,20210623.,指数基金,--,--,--,--,--,-7.95,--
004432.OF,南方有色金属联接a,1.42,1.81,20210811.,指数基金,有色金属,63.46,3.91,0.62,3.23,24.41,0.10
004433.OF,南方有色金属联接c,1.40,1.80,20210811.,指数基金,有色金属,63.46,3.91,0.62,3.23,24.17,--
004488.OF,嘉实富时中国a50etf联接a,1.54,-0.59,20210811.,指数基金,富时中国A50,--,--,--,--,-17.75,0.10
004512.OF,海富通沪深300指数增强c,1.61,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.39,--
004513.OF,海富通沪深300指数增强a,1.55,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.35,0.10
004532.OF,民生加银中证港股通高股息精选指数a,1.16,0.44,20210811.,指数基金,港股通高股息CNY,--,--,7.77,5.13,10.24,0.10
004533.OF,民生加银中证港股通高股息精选指数c,1.15,0.44,20210811.,指数基金,港股通高股息CNY,--,--,7.77,5.13,10.10,--
004597.OF,南方银行联接a,1.31,0.93,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-8.86,0.10
004598.OF,南方银行联接c,1.29,0.93,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-9.04,--
004642.OF,南方房地产联接a,0.80,2.86,20210811.,指数基金,房地产,7.27,0.90,3.57,6.47,-5.96,0.10
004643.OF,南方房地产联接c,0.78,2.87,20210811.,指数基金,房地产,7.27,0.90,3.57,6.47,-6.15,--
004742.OF,易方达深证100etf联接c,1.94,-0.57,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-10.70,--
004743.OF,易方达上证中盘etf联接c,2.06,0.07,20210811.,指数基金,上证中盘,12.67,1.21,2.58,5.04,1.33,--
004744.OF,易方达创业板etf联接c,3.39,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.80,--
004746.OF,易方达上证50增强c,2.22,-1.10,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-22.30,--
004752.OF,广发中证传媒etf联接a,0.69,0.13,20210811.,指数基金,中证传媒,33.28,2.26,1.32,3.51,-17.56,0.10
004753.OF,广发中证传媒etf联接c,0.69,0.13,20210811.,指数基金,中证传媒,33.28,2.26,1.32,3.51,-17.65,--
004788.OF,富荣沪深300指数增强a,2.03,-0.70,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.02,0.10
004789.OF,富荣沪深300指数增强c,2.03,-0.71,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.07,--
004790.OF,富荣中证500指数a,1.50,1.33,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.28,0.10
004791.OF,富荣中证500指数c,1.50,1.33,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.22,--
004854.OF,广发中证全指汽车指数a,1.61,0.18,20210811.,指数基金,汽车指数,59.28,3.27,0.95,2.84,18.50,0.10
004855.OF,广发中证全指汽车指数c,1.61,0.18,20210811.,指数基金,汽车指数,59.28,3.27,0.95,2.84,18.38,--
004856.OF,广发中证全指建筑材料指数a,1.51,-0.61,20210811.,指数基金,建筑材料,11.33,1.82,2.83,8.56,0.40,0.10
004857.OF,广发中证全指建筑材料指数c,1.52,-0.61,20210811.,指数基金,建筑材料,11.33,1.82,2.83,8.56,0.30,--
004870.OF,融通创业板指数c,1.49,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,-0.07,--
004874.OF,融通巨潮100指数(lof)c,1.22,-0.57,20210811.,指数基金,巨潮100,13.89,1.46,2.47,5.54,-15.99,--
004875.OF,融通深证成分指数c,1.40,-0.14,20210811.,指数基金,深证成指,32.09,3.64,1.04,6.10,-2.85,--
004876.OF,融通深证100指数c,1.91,-0.57,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-11.46,--
