基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
012402.OF,天弘中证医药指数增强c,--,--,--,指数基金,--,--,--,--,--,--,--
012403.OF,东方中债1-5年政策性金融债a,--,--,--,指数基金,--,--,--,--,--,--,--
012404.OF,东方中债1-5年政策性金融债c,--,--,--,指数基金,--,--,--,--,--,--,--
012414.OF,招商中证白酒指数c,1.30,-1.61,20210811.,指数基金,中证白酒,50.56,12.36,0.98,13.09,--,--
012415.OF,德邦上证g60综指增强a,--,--,--,指数基金,--,--,--,--,--,--,--
012416.OF,德邦上证g60综指增强c,--,--,--,指数基金,--,--,--,--,--,--,--
012417.OF,招商国证生物医药指数c,1.03,-2.21,20210811.,指数基金,生物医药,74.76,11.28,0.41,9.18,--,--
012461.OF,东财龙头家电指数a,1.00,0.23,20210811.,指数基金,龙头家电,20.97,3.77,1.64,9.65,--,--
012462.OF,东财龙头家电指数c,1.00,0.23,20210811.,指数基金,龙头家电,20.97,3.77,1.64,9.65,--,--
012498.OF,汇添富中证500基本面增强指数a,--,--,--,指数基金,--,--,--,--,--,--,--
012499.OF,汇添富中证500基本面增强指数c,--,--,--,指数基金,--,--,--,--,--,--,--
012503.OF,国泰中证环保产业50etf联接a,1.18,0.69,20210811.,指数基金,环保50,52.23,5.36,0.72,5.68,--,0.10
012504.OF,国泰中证环保产业50etf联接c,1.18,0.69,20210811.,指数基金,环保50,52.23,5.36,0.72,5.68,--,--
012516.OF,国泰中证细分机械设备产业主题etf联接a,1.19,0.31,20210811.,指数基金,细分机械全收益,48.83,5.10,0.63,5.77,--,0.10
012517.OF,国泰中证细分机械设备产业主题etf联接c,1.19,0.31,20210811.,指数基金,细分机械全收益,48.83,5.10,0.63,5.77,--,--
012537.OF,华宝化工etf联接a,1.06,0.74,20210811.,指数基金,细分化工,34.54,4.66,1.08,7.35,--,0.10
012538.OF,华宝化工etf联接c,1.06,0.75,20210811.,指数基金,细分化工,34.54,4.66,1.08,7.35,--,--
012543.OF,嘉实中证新能源汽车指数a,--,--,--,指数基金,--,--,--,--,--,--,--
012544.OF,嘉实中证新能源汽车指数c,--,--,--,指数基金,--,--,--,--,--,--,--
012547.OF,南方银行联接e,1.31,0.93,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,--,--
012548.OF,华宝食品etf联接a,0.92,-1.74,20210811.,指数基金,细分食品,49.61,10.69,1.03,11.49,--,0.10
012549.OF,华宝食品etf联接c,0.92,-1.73,20210811.,指数基金,细分食品,49.61,10.69,1.03,11.49,--,--
012550.OF,华宝电子etf联接a,1.01,-0.04,20210811.,指数基金,电子50,55.25,6.45,0.64,6.55,--,0.10
012551.OF,华宝电子etf联接c,1.01,-0.04,20210811.,指数基金,电子50,55.25,6.45,0.64,6.55,--,--
012552.OF,天弘中证芯片指数a,1.00,0.28,20210806.,指数基金,芯片产业,116.63,10.47,0.18,5.18,--,0.10
012553.OF,天弘中证芯片指数c,1.00,0.28,20210806.,指数基金,芯片产业,116.63,10.47,0.18,5.18,--,--
012596.OF,汇添富中证800etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012597.OF,汇添富中证800etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
012598.OF,华安国证生物医药指数a,--,--,--,指数基金,--,--,--,--,--,--,--
012599.OF,华安国证生物医药指数c,--,--,--,指数基金,--,--,--,--,--,--,--
012605.OF,东财中证证券保险指数a,1.00,-0.20,20210811.,指数基金,证券保险,12.62,1.44,2.82,6.11,--,--
012606.OF,东财中证证券保险指数c,1.00,-0.21,20210811.,指数基金,证券保险,12.62,1.44,2.82,6.11,--,--
012629.OF,广发国证半导体芯片etf联接a,1.00,--,20210809.,指数基金,国证芯片,108.35,10.17,0.19,5.38,--,--
012630.OF,广发国证半导体芯片etf联接c,1.00,--,20210809.,指数基金,国证芯片,108.35,10.17,0.19,5.38,--,--
012634.OF,国泰中证医疗etf联接a,0.94,-1.79,20210811.,指数基金,中证医疗,60.96,12.44,0.47,12.23,--,0.10
012635.OF,国泰中证医疗etf联接c,0.94,-1.79,20210811.,指数基金,中证医疗,60.96,12.44,0.47,12.23,--,--
012636.OF,国泰中证全指软件etf联接a,1.04,-1.26,20210811.,指数基金,软件指数,100.05,7.73,0.38,4.09,--,0.10
012637.OF,国泰中证全指软件etf联接c,1.04,-1.26,20210811.,指数基金,软件指数,100.05,7.73,0.38,4.09,--,--
012645.OF,建信中证全指证券公司etf发起式联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012646.OF,建信中证全指证券公司etf发起式联接c,--,--,--,指数基金,--,--,--,--,--,--,--
012655.OF,博时5g50etf联接a,1.03,1.32,20210806.,指数基金,5G50,38.26,4.09,0.69,5.78,--,0.10
012658.OF,博时5g50etf联接c,1.03,1.32,20210806.,指数基金,5G50,38.26,4.09,0.69,5.78,--,--
012679.OF,华泰柏瑞光伏etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012680.OF,华泰柏瑞光伏etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
012692.OF,博时中债0-3年国开行a,--,--,--,指数基金,--,--,--,--,--,--,--
012693.OF,博时中债0-3年国开行c,--,--,--,指数基金,--,--,--,--,--,--,--
012698.OF,平安中证新能车etf联接a,1.08,1.53,20210811.,指数基金,新能源车,201.45,12.18,0.17,3.33,--,0.10
012699.OF,平安中证新能车etf联接c,1.08,1.53,20210811.,指数基金,新能源车,201.45,12.18,0.17,3.33,--,--
012712.OF,建信沪深300红利etf发起式联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012713.OF,建信沪深300红利etf发起式联接c,--,--,--,指数基金,--,--,--,--,--,--,--
012722.OF,平安中证光伏产业指数a,1.09,-0.14,20210811.,指数基金,--,--,--,--,--,--,0.10
012723.OF,平安中证光伏产业指数c,1.09,-0.14,20210811.,指数基金,--,--,--,--,--,--,--
012724.OF,国泰中证畜牧养殖etf联接a,0.96,-0.19,20210811.,指数基金,中证畜牧,12.54,2.87,2.01,13.33,--,0.10
012725.OF,国泰中证畜牧养殖etf联接c,0.96,-0.19,20210811.,指数基金,中证畜牧,12.54,2.87,2.01,13.33,--,--
012728.OF,国泰中证动漫游戏etf联接a,0.89,-0.15,20210811.,指数基金,动漫游戏,20.74,2.44,0.72,6.25,--,0.10
012729.OF,国泰中证动漫游戏etf联接c,0.89,-0.15,20210811.,指数基金,动漫游戏,20.74,2.44,0.72,6.25,--,--
012730.OF,国泰中证细分化工产业主题etf联接a,1.09,0.71,20210811.,指数基金,细分化工,34.54,4.66,1.08,7.35,--,0.10
012731.OF,国泰中证细分化工产业主题etf联接c,1.09,0.70,20210811.,指数基金,细分化工,34.54,4.66,1.08,7.35,--,--
012737.OF,广发创新药etf联接a,0.99,-1.49,20210811.,指数基金,--,--,--,--,--,--,0.10
012738.OF,广发创新药etf联接c,0.99,-1.49,20210811.,指数基金,--,--,--,--,--,--,--
012754.OF,鹏华中证内地低碳经济主题etf联接a,1.03,0.53,20210811.,指数基金,内地低碳,52.23,5.36,0.72,5.68,--,0.10
012755.OF,鹏华中证内地低碳经济主题etf联接c,1.03,0.54,20210811.,指数基金,内地低碳,52.23,5.36,0.72,5.68,--,--
012763.OF,华泰紫金中证细分食品饮料主题指数发起a,1.00,-0.01,20210811.,指数基金,细分食品,49.61,10.69,1.03,11.49,--,--
012764.OF,华泰紫金中证细分食品饮料主题指数发起c,1.00,-0.02,20210811.,指数基金,细分食品,49.61,10.69,1.03,11.49,--,--
012768.OF,华夏中证动漫游戏etf发起式联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012769.OF,华夏中证动漫游戏etf发起式联接c,--,--,--,指数基金,--,--,--,--,--,--,--
012804.OF,广发恒生科技指数(qdii)a,--,--,--,指数基金,--,--,--,--,--,--,--
012805.OF,广发恒生科技指数(qdii)c,--,--,--,指数基金,--,--,--,--,--,--,--
012808.OF,鹏华中证a股资源产业指数(lof)c,1.08,1.98,20210811.,指数基金,A股资源,25.72,1.34,2.85,2.63,--,--
012810.OF,鹏华国证钢铁行业指数(lof)c,1.10,2.05,20210811.,指数基金,国证钢铁,18.81,1.43,2.31,3.92,--,--
012811.OF,华宝msci中国a股国际通esg指数(lof)c,1.52,-0.29,20210811.,指数基金,--,--,--,--,--,--,--
012831.OF,南方中证新能源联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012832.OF,南方中证新能源联接c,--,--,--,指数基金,--,--,--,--,--,--,--
012837.OF,华安ces半导体芯片行业指数发起a,0.97,0.61,20210811.,指数基金,中华半导体芯片,118.51,10.95,0.17,5.33,--,0.10
012838.OF,华安ces半导体芯片行业指数发起c,0.97,0.62,20210811.,指数基金,中华半导体芯片,118.51,10.95,0.17,5.33,--,--
012842.OF,易方达中证军工指数(lof)c,1.58,-0.28,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,--,--
012857.OF,汇添富中证主要消费etf联接c,2.97,-1.52,20210811.,指数基金,中证消费,37.04,8.01,1.22,11.77,--,--
012860.OF,易方达标普500指数(lof)(人民币)c,1.79,0.10,20210810.,指数基金,标普500,--,--,1.24,--,--,--
012861.OF,易方达标普500指数(lof)(美元)c,0.28,0.11,20210810.,指数基金,标普500,--,--,1.24,--,--,--
012862.OF,汇添富中证电池主题指数发起式a,--,--,--,指数基金,--,--,--,--,--,--,0.10
012863.OF,汇添富中证电池主题指数发起式c,--,--,--,指数基金,--,--,--,--,--,--,--
012864.OF,易方达标普医疗保健指数(qdii-lof)c人民币,1.77,-0.60,20210810.,指数基金,--,--,--,--,--,--,--
012865.OF,易方达标普医疗保健指数(qdii-lof)c美元,0.27,-0.62,20210810.,指数基金,--,--,--,--,--,--,--
012866.OF,易方达标普生物科技指数(qdii-lof)c人民币,1.69,-0.77,20210810.,指数基金,--,--,--,--,--,--,--
012867.OF,易方达标普生物科技指数(qdii-lof)c美元,0.26,-0.80,20210810.,指数基金,--,--,--,--,--,--,--
012868.OF,易方达标普信息科技指数(qdii-lof)c人民币,2.74,-0.69,20210810.,指数基金,标普500,--,--,1.24,--,--,--
012869.OF,易方达标普信息科技指数(qdii-lof)c美元,0.42,-0.71,20210810.,指数基金,标普500,--,--,1.24,--,--,--
012870.OF,易纳斯达克100c人民币,2.29,-0.52,20210810.,指数基金,纳斯达克100,--,--,0.59,--,--,--
012871.OF,易纳斯达克100c美元,0.35,-0.54,20210810.,指数基金,纳斯达克100,--,--,0.59,--,--,--
012872.OF,易方达中小企业100指数(lof)c,1.61,0.02,20210811.,指数基金,中小100,35.25,4.68,0.89,7.30,--,--
012873.OF,易方达中证国有企业改革指数(lof)c,1.54,0.20,20210811.,指数基金,国企改革,17.16,1.24,3.18,3.75,--,--
012874.OF,易方达中证全指证券公司指数(lof)c,1.24,-0.75,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,--,--
012875.OF,易方达上证50指数(lof)c,1.20,-0.66,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,--,--
012882.OF,工银科技龙头etf发起式联接a,0.99,-0.68,20210811.,指数基金,科技龙头,54.99,6.37,0.58,6.36,--,0.10
012883.OF,工银科技龙头etf发起式联接c,0.99,-0.69,20210811.,指数基金,科技龙头,54.99,6.37,0.58,6.36,--,--
012885.OF,华夏中证光伏产业指数发起式a,--,--,--,指数基金,--,--,--,--,--,--,--
012886.OF,华夏中证光伏产业指数发起式c,--,--,--,指数基金,--,--,--,--,--,--,--
012894.OF,天弘中证科创创业50指数a,1.00,-0.61,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,0.10
012895.OF,天弘中证科创创业50指数c,1.00,-0.61,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
012898.OF,兴银中证科创创业50指数a,1.02,0.78,20210806.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
012899.OF,兴银中证科创创业50指数c,1.02,0.78,20210806.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
012907.OF,鹏扬中证科创创业50指数a,1.00,-0.29,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,0.10
012908.OF,鹏扬中证科创创业50指数c,1.00,-0.30,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
012911.OF,同泰沪深300量化增强a,1.02,0.55,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,--,0.10
012912.OF,同泰沪深300量化增强c,1.02,0.55,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,--,--
012926.OF,民生加银中证500指数增强发起式a,1.00,--,20210810.,指数基金,中证500,25.80,2.00,1.49,4.05,--,--
012927.OF,民生加银中证500指数增强发起式c,1.00,--,20210810.,指数基金,中证500,25.80,2.00,1.49,4.05,--,--
012969.OF,鹏华国证半导体芯片etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012970.OF,鹏华国证半导体芯片etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
012973.OF,国泰中证800汽车与零部件etf发起联接a,1.00,-0.06,20210811.,指数基金,800 汽车,50.68,3.45,1.01,3.52,--,0.10
012974.OF,国泰中证800汽车与零部件etf发起联接c,1.00,-0.05,20210811.,指数基金,800 汽车,50.68,3.45,1.01,3.52,--,--
012979.OF,大成恒生科技etf发起式联接a,--,--,--,指数基金,--,--,--,--,--,--,--
012980.OF,大成恒生科技etf发起式联接c,--,--,--,指数基金,--,--,--,--,--,--,--
013019.OF,国泰中证全指建筑材料etf发起联接a,1.00,0.00,20210811.,指数基金,建筑材料,11.33,1.82,2.83,8.56,--,0.10
013020.OF,国泰中证全指建筑材料etf发起联接c,1.00,-0.01,20210811.,指数基金,建筑材料,11.33,1.82,2.83,8.56,--,--
013035.OF,富国中证军工指数c,1.34,-0.37,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,--,--
013048.OF,富国中证新能源汽车指数c,1.55,1.71,20210811.,指数基金,CS新能车,215.18,12.65,0.17,3.25,--,--
013074.OF,银河沪深300价值指数c,1.06,0.76,20210811.,指数基金,300价值,8.04,0.82,4.06,5.34,--,--
013105.OF,华安中证光伏产业指数发起式a,--,--,--,指数基金,--,--,--,--,--,--,--
013106.OF,华安中证光伏产业指数发起式c,--,--,--,指数基金,--,--,--,--,--,--,--
