amount_standard_rank,profit
-1.0,0.00447139417827918
-0.8999999999999999,0.0027252876858862925
-0.8,-0.00022089755528692049
-0.7,-0.0015058451088575424
-0.6000000000000001,-0.005341225680867921
-0.5,0.001132758437431428
-0.3999999999999999,0.0028638752327971215
-0.30000000000000004,0.0014817773430565097
-0.19999999999999996,-0.0016130560159299983
-0.10000000000000009,-0.00040414582733335413
0.0,0.0037391075750943374
0.09999999999999998,-0.0011789304393880937
0.19999999999999996,0.005086324496886076
0.30000000000000004,0.0021822222394501734
0.4,0.002270931467460934
0.5,0.00021649761026025345
0.6,0.004955545253986035
0.7,0.0055263826975427725
0.8,0.008327033850746847
0.9,0.006861236349637768
1.0,0.013913917511882605
